Organization Name,Full Description,similarity
Anaplan,"Anaplan is driving a new age of connected planning. Large and fast-growing organizations use Anaplan’s cloud platform in every business function to make better-informed plans and decisions and drive faster, more effective planning processes. Anaplan also provides support, training, and planning transformation advisory services. Anaplan is a privately held company based in San Francisco with 16 offices and over 150 expert partners worldwide.",0.46679562552570264
Apptio,"Apptio is the leading provider of cloud-based Technology Business Management (TBM) software that helps CIOs manage the business of IT. Apptio’s suite of applications use business analytics to provide facts and insights about technology cost, value, and quality, so IT leaders can make faster, data-driven decisions. The purpose-built applications help companies align technology spend to business outcomes and automate IT processes like cost transparency, benchmarking, showback/chargeback, operational efficiency, and planning. Powering Apptio’s applications is a next generation, in-memory cost analytics platform that takes data directly from all financial, operational, and billing systems, and powers applications that give customers deep insight.",0.19033052835900124
Sansan,"Since its founding in 2007, Sansan has focused on delivering its cloud based contact management service to customers in Japan and beyond. Sansan is setting the standard in Japan for cloud-based contact management, with annually doubling numbers of users from over 7,000 premium corporate users including the Japanese Government (METI). Sansan Inc. is based in Tokyo, Japan and has its subsidiary Sansan global Pte. Ltd. in Singapore since October 2015. The company began offering its business card app Eight in 2012. It has over 1.5 million registered users as a new business network that incorporates a social media framework to transform business cards into business connections. Founded: June 11, 2007 URL： https://www.corp-sansan.com/ Address: Aoyama Oval Building, 13F, 5-52-2, Jingu-mae Shibuya-ku Tokyo 150-0001 Business scope: Planning, development, and sales of cloud-based business card management services Sansan for business users: https://www.sansan.com Eight for individual users: https://8card.net",0.15952381255403295
EVgo,"EVgo provides fast charging networks for private and public electric vehicles. EVgo’s fast chargers deliver convenient, fast charges to EV drivers on the go, delivering up to 90 miles of range in 30 minutes. EVgo’s fast chargers are compatible with all EV models currently on the market that accept DC fast charging.",0.1472694310777045
Hipgnosis Songs Fund,"Hipgnosis, which was founded by Merck Mercuriadis, is a Guernsey registered investment company established to offer investors a pure-play exposure to songs and associated musical intellectual property rights. The Company has raised a total of over £625 million (gross equity capital) through its Initial Public Offering on 11 July 2018, and subsequent issues in April 2019, August 2019 and October 2019. In September 2019, Hipgnosis transferred its entire issued share capital to the Premium listing segment of the Official List of the FCA and to the London Stock Exchange’s Premium segment of the Main Market.",0.1468997573771945
HelloFresh,"HelloFresh is a food subscription company that sends pre-portioned ingredients to users’ doorstep each week. It enables anyone to cook quick and healthy meals designed by nutritionists and chefs. HelloFresh aims to provide each and every household in its 10 markets with the opportunity to enjoy wholesome home-cooked meals with no planning, no shopping, and no hassle required.  Their subscription business model with regular delivery enables them to fundamentally change the way consumers shop for food and to develop new ways people prepare and consume meals, changing the traditional food supply chain. HelloFresh is at the forefront of disrupting a multitrillion dollar industry at the very beginning of its online transition.",0.14616491016033395
Envista,"Envista is a global family of three operating companies and more than 30 dental brands, united by a shared purpose: to partner with professionals to improve lives. The company helps its partners deliver the best possible patient care through its products, solutions, and technology.",0.14327585294948686
e2open,"E2open is a supply chain software platform that transforms the way they make, move, and sell goods and services. Their software combines networks, data, and applications to provide a deeply embedded, mission-critical platform that allows customers to optimize the supply chain across channel shaping, business planning, logistics, global trade, manufacturing, and supply.",0.14288864306937152
Aditxt Therapeutics,"Aditx Therapeutics is a biotechnology company developing a novel nucleic acid-based technology to selectively suppress immune cells involved in the rejection of transplanted tissues and organs. The company was founded in 2017 by Amro Albanna and is based in Loma Linda, California, United States.",0.13575060655219334
Establishment Labs,"Establishment Labs is a medical technology company with a strong emphasis on innovation that designs, develops, manufactures and markets an innovative product portfolio. Its CE-marked Motiva Implants® line of silicone breast implants (http://www.motivaimplants.com) utilizes ultra-high purity medical-grade silicone and is subject to the strictest quality assurance testing throughout the manufacturing process. Motiva Implants are sold in more than 60 countries worldwide. Puregraft®’s FDA cleared and CE-Marked technology provides plastic surgeons with purified fat for reinjection on the sterile field and is used in hospitals and clinics around the world. Divina® is a proprietary 3D imaging technology for full integration in consultation and surgical planning of unique solutions for breast aesthetics and reconstruction. All manufacturing facilities are fully compliant with both FDA and ISO applicable standards.",0.13164141270779184
